,neuronID,r2_score,adj_r2,mean_squared_error,explained_variance_score,baseline,gamma,model,explained_variance_score_task,task,explained_variance_score_choice,choice,explained_variance_score_visC,visC,explained_variance_score_audC,audC,explained_variance_score_audI,audI,hemi,BerylAcronym,bombcell_class,is_good,ml,ap,dv,presenceRatio,percentageSpikesMissing_gaussian,fractionRPVs_estimatedTauR,signalToNoiseRatio,subject,date,fitID,sessionID,audR_behav,audL_behav,visR_behav,visL_behav,gamma_behav,bias_behav,subject_behav,date_behav,SPL_behav,log_loss_behav
10,neuron_184,0.0221161654298034,0.0119298754863638,55.37345952924449,0.0233975793568966,4.143052354312456,0.5,vis_choice,0.003683807351393,0.3012678143738005,0.0039928782953393,-0.6925643242771199,0.0184792234411288,5.5450185168546575,,,,,-1.0,SCs,good,True,4687.808783182184,9273.53453499329,1291.9562112394908,1.0,9.853770751214183,0.2067385175204978,,AV005,2022-05-12,AV005_2022-05-12_neuron_184,AV005_2022-05-12,0.592463312619491,-1.3221998302630276,8.709942352760994,-6.735373082576218,0.995150003892218,0.0031451070700585,AV005,2022-05-12,high,0.4155649375444094
62,neuron_99,0.075978100964747,0.0663528728497965,323.4419164089566,0.0807756548545335,20.68914393170473,1.5,vis_choice,0.0510102274237165,-9.78434643571004,0.0065456618881518,-1.6311713952580045,0.0301262307907294,21.904869653275952,,,,,-1.0,SCs,good,True,4666.161049955271,9256.868715110915,1515.2821250568593,0.8099173553719008,0.8036952543165166,0.0481980923360709,,AV005,2022-05-12,AV005_2022-05-12_neuron_99,AV005_2022-05-12,0.592463312619491,-1.3221998302630276,8.709942352760994,-6.735373082576218,0.995150003892218,0.0031451070700585,AV005,2022-05-12,high,0.4155649375444094
100,neuron_1010,0.0190499634488734,0.0128151115216416,96.64994726345724,0.022073325791174,11.205220233184535,1.0,aud_ipsi_choice,0.0105538539387629,-1.1613069714951705,0.0012811006927399,-0.5055540003683339,,,,,0.0022655614154915,1.5292751620734495,-1.0,SCs,good,True,4992.27718171531,8909.267476935065,1602.7348904621754,1.0,17.151158821401236,0.0237748275607562,,AV008,2022-03-09,AV008_2022-03-09_neuron_1010,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
104,neuron_1037,0.1150309674355162,0.1112890264944401,177.12335277963788,0.1150695902719953,12.488015340364326,1.0,choice,0.0995513898621799,12.080387048586765,0.0054720174567834,-1.2148056310990167,,,,,,,-1.0,SCs,good,True,4983.546578671616,8921.656706223876,1520.2812101605962,1.0,11.71361088408378,0.029375118008892,,AV008,2022-03-09,AV008_2022-03-09_neuron_1037,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
122,neuron_1127,0.0184923756043957,0.010156854378106,97.8347184103234,0.0184932577547604,8.114073415987566,1.2,vis_choice,-0.0014346378493415,0.3970915663353533,0.0080570830573545,-1.6360286994640525,0.0068793024844148,-6.005929264743731,,,,,-1.0,SCs,good,True,4883.851087255031,9403.2005333175,1463.46721008062,1.0,0.0057211418854286,0.0402020466013188,,AV008,2022-03-09,AV008_2022-03-09_neuron_1127,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
126,neuron_1140,0.3941834609557512,0.3890385221952904,250.49847493818652,0.3955032145002184,19.7781336337424,1.0,vis_choice,-0.0027168594291606,-0.9194802587637056,0.0159291749681754,-2.1246762188184745,0.3545892538936309,73.18422171904199,,,,,-1.0,SCs,good,True,4879.469935066135,9460.95512765019,1261.630540486038,1.0,0.7613624064037094,0.0734925359417691,,AV008,2022-03-09,AV008_2022-03-09_neuron_1140,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
129,neuron_1153,0.1300896012308142,0.1227018271436024,13.327335111113843,0.1301256394098457,0.7263927349151567,1.5,vis_choice,0.0149077182778902,-0.9406707108166834,-9.862303740026944e-05,-0.3125034475976788,0.1023283062426063,6.9676120930541785,,,,,-1.0,SCs,good,True,4891.109220102115,9136.886599728916,1467.8589286717354,1.0,0.1800754824499262,0.1842084277938772,,AV008,2022-03-09,AV008_2022-03-09_neuron_1153,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
130,neuron_1159,0.0150214338128952,0.0108566195795459,0.4187538309804536,0.0153489162116041,0.0119846596356663,1.0,choice,0.0076231933049647,0.0916654230177757,0.0032467610975519,-0.0529915213565829,,,,,,,-1.0,SCs,good,True,4888.231048349674,9143.81724533611,1423.489047418175,0.8045977011494253,4.809913551227929,0.0,,AV008,2022-03-09,AV008_2022-03-09_neuron_1159,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
132,neuron_1162,0.3225285758639183,0.316775103047476,109.75523483476115,0.3226401186899759,8.057480270637202,1.5,vis_choice,0.2068911308095807,11.00221059855802,0.0141143417377848,-1.2772618021915347,0.0700122237850016,28.423170177351142,,,,,-1.0,SCs,good,True,4885.296058543692,9150.990285988932,1379.161906288689,1.0,17.254398511748036,0.252922547643053,,AV008,2022-03-09,AV008_2022-03-09_neuron_1162,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
144,neuron_25,0.094198495276111,0.0865059134950164,31.80011392244188,0.0949166790438985,3.135652726877966,1.4,vis_choice,0.0707453525752693,3.743346596204713,0.0032017489411649,-0.7589040222092507,0.0076955722326206,-4.096938906835205,,,,,1.0,SCm,good,True,7006.799015191422,9182.72229936782,1881.2852581190616,1.0,8.819043091346401,0.0136081716337054,,AV008,2022-03-09,AV008_2022-03-09_neuron_25,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
