,neuronID,r2_score,adj_r2,mean_squared_error,explained_variance_score,baseline,gamma,model,explained_variance_score_choice,choice,explained_variance_score_visC,visC,explained_variance_score_audC,audC,explained_variance_score_audI,audI,hemi,BerylAcronym,bombcell_class,is_good,ml,ap,dv,presenceRatio,percentageSpikesMissing_gaussian,fractionRPVs_estimatedTauR,signalToNoiseRatio,subject,date,fitID,sessionID,audR_behav,audL_behav,visR_behav,visL_behav,gamma_behav,bias_behav,subject_behav,date_behav,SPL_behav,log_loss_behav
17464,neuron_64,0.0099002349116332,0.0074970801420012,121.98018816325624,0.0101387810304737,7.791710675916002,1.0,choice,0.0101537805397524,2.536143857581053,,,,,,,-1.0,SCm,good,True,4627.585617747906,9223.857881047365,2501.641481005092,0.922077922077922,14.695562642089754,0.0130830697386939,,AV005,2022-05-16,AV005_2022-05-16_neuron_64,AV005_2022-05-16,0.40482215105539,-0.7245708452678903,3.461483464197716,-6.845562857991991,0.995150003892218,0.0224878040063473,AV005,2022-05-16,high,0.5027917781369232
40292,neuron_103,0.0142131460020146,0.0117300556896772,452.70998800727233,0.0144867540322861,16.241577899994642,1.0,choice,0.0145705748151211,6.310199536989813,,,,,,,-1.0,SCm,good,True,4654.727777109504,8877.01096349668,1990.2758644564424,1.0,0.0013250614718018,0.0666245091962996,,AV005,2022-05-19,AV005_2022-05-19_neuron_103,AV005_2022-05-19,2.0054357594004597,-0.1160982859357014,6.210700126713361,-4.435707970649069,0.995150003892218,0.2587650034091817,AV005,2022-05-19,high,0.4766986246082012
97708,neuron_1016,0.0090844470696764,0.0068969955179539,473.4105409606992,0.0098165669200288,30.653077831185065,1.0,choice,0.0097256546994999,-1.7313212531021702,,,,,,,-1.0,SCs,good,True,5021.177739166592,8712.81064354592,1806.4656976592464,1.0,0.8878801353816024,0.0024013171949651,,AV008,2022-03-09,AV008_2022-03-09_neuron_1016,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
97821,neuron_1140,0.0087436170618043,0.0065554131259584,190.84828783577316,0.0087600843046549,20.4161491320315,1.0,choice,0.0086703552857699,-0.8091368083983072,,,,,,,-1.0,SCs,good,True,4879.469935066135,9460.95512765019,1261.630540486038,1.0,0.7613624064037094,0.0734925359417691,,AV008,2022-03-09,AV008_2022-03-09_neuron_1140,AV008_2022-03-09,3.5436688830187157,-0.9883205346196116,5.479668721896605,-5.816157312777702,1.101539982570183,0.0405874023000933,AV008,2022-03-09,high,0.3702521895971892
139756,neuron_121,0.0226488662885582,0.020906707404937,204.29567768812336,0.0226589895734076,9.107844185867608,1.0,choice,0.0226300750323753,2.805092068746164,,,,,,,1.0,SCs,good,True,6914.190889400627,8628.899526351046,1816.7129266103616,1.0,0.2464059037554977,0.0460806919419452,,AV008,2022-04-01,AV008_2022-04-01_neuron_121,AV008_2022-04-01,4.407889146751883,-0.3852433288981519,5.946262752669634,-4.159876793741448,1.101539982570183,-0.5672786107938419,AV008,2022-04-01,high,0.3916246552608335
615911,neuron_114,0.0074706134333819,0.0053452828411622,20.984483795213425,0.0085599148631905,1.29179812560344,1.0,choice,0.0084240987323489,0.3948399593807501,,,,,,,-1.0,SCm,good,True,4450.29096950717,9631.93974144085,1787.6904349339209,1.0,0.7974922672152496,0.2805943885513653,,AV014,2022-06-17,AV014_2022-06-17_neuron_114,AV014_2022-06-17,2.014242534531367,-1.9450436347139568,3.40242179284342,-2.797597833966853,0.885618665037805,0.3793591593670403,AV014,2022-06-17,high,0.4457826244316518
629726,neuron_23,0.0104604850297307,0.0081592303437533,6.254569262181381,0.0104606119699618,0.7234828898627631,1.0,choice,0.0104502542712535,-0.4513821193344126,,,,,,,1.0,SCs,good,True,6557.216043181506,8881.022427822247,1805.490678903277,1.0,4.237235831130692,0.0,,AV014,2022-07-12,AV014_2022-07-12_neuron_23,AV014_2022-07-12,1.9564708990826083,-3.5480180558834564,3.116416619611313,-2.299964553893364,0.885618665037805,-0.4074011885200057,AV014,2022-07-12,high,0.4049080500101379
629776,neuron_78,0.008028354463526,0.0057214436599528,115.45561229751677,0.0085355074941595,17.234320299056556,1.0,choice,0.0084909396401781,1.518381636164824,,,,,,,1.0,SCm,good,True,6639.747271969329,9615.51557132397,1803.51029843464,1.0,7.840751730232864,0.0658045654437961,,AV014,2022-07-12,AV014_2022-07-12_neuron_78,AV014_2022-07-12,1.9564708990826083,-3.5480180558834564,3.116416619611313,-2.299964553893364,0.885618665037805,-0.4074011885200057,AV014,2022-07-12,high,0.4049080500101379
911767,neuron_180,0.0089392633521417,0.0072480334261216,7.281242665253643,0.0095838816206536,0.3784298328613466,1.0,choice,0.0095827853750437,-0.1629767337319695,,,,,,,1.0,SCm,good,True,7440.7059607539295,9180.73456057134,2748.9103590943887,1.0,0.0505372542118465,0.0449196450634771,,AV025,2022-11-07,AV025_2022-11-07_neuron_180,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
911609,neuron_22,0.0130232079985005,0.0113389472612966,36.86105585229444,0.0143257855297111,2.0089114582762893,1.0,choice,0.014324108919264,-0.4193585407189454,,,,,,,1.0,SCm,good,True,7464.473061326031,8956.818569264691,2651.1032879423383,1.0,9.85583141099866e-05,0.0065652978207679,,AV025,2022-11-07,AV025_2022-11-07_neuron_22,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
